zipcode,price
11219,1376766.55
10472,620389.12
11214,1008748.95
11385,883376.08
11419,471476.18
11694,659119.91
11367,763182.33
11356,694718.54
11234,630059.39
10024,6836162.67
11215,2507427.09
11236,517643.49
11208,762927.32
10065,16305325.89
10473,1162425.94
11228,886325.48
11217,3030148.78
11220,1300873.37
11207,573375.44
10026,4199569.36
11375,979786.14
11421,565667.45
11223,1333098.69
11412,386248.53
11213,797005.9
11203,638241.75
11211,2610159.9
10469,423852.42
11354,2720554.6
11229,1098238.16
11230,1635150.36
10308,496843.29
11222,3487968.53
10462,1853377.8
11360,1059759.35
11693,684605.03
10128,5683396.21
10307,619944.36
10031,3278004.02
11373,1034842.26
10306,479493.27
11355,1253243.49
11358,1038926.79
11101,2925658.2
11357,830806.73
10002,5079206.96
10457,1555137.19
11436,375171.08
11209,1375559.55
11218,2058687.4
11369,611269.75
11420,438965.37
10310,424443.94
11428,466721.88
11378,1080572.59
11237,1827052.03
11105,1503974.12
10305,473406.46
10314,506767.13
11221,919821.03
10005,1188166.67
11204,1043843.21
10075,8378645.83
11429,410055.54
11365,782237.66
11206,1919962.04
10467,1124146.31
10464,576760.0
10465,475560.91
10029,4067613.64
11364,749099.31
11226,1977353.88
11224,1459767.22
11212,835469.01
11434,375491.18
11379,637960.24
10463,2639519.19
11692,517989.1
11106,5249067.67
11231,4155172.71
11433,414137.24
10309,597249.54
11361,892458.84
11210,875068.31
11435,720845.29
10302,467081.57
10038,9865285.71
10027,3549105.47
11427,578454.36
10303,439290.32
10466,445661.39
11426,1222918.75
11235,974255.46
10461,660357.79
10301,489580.25
10312,524768.01
10013,10727413.34
11225,1689730.79
11205,1939482.15
11411,405182.88
11416,491735.97
11201,5307386.54
11374,4092334.83
10304,559507.0
11103,1975819.26
11423,742675.01
10028,8580850.52
11366,708389.4
11104,1623000.1
10018,47368924.78
10023,5180422.76
11368,779279.23
11414,511249.53
10460,741898.58
11691,818518.17
11233,703759.73
10280,960403.0
10455,1457928.0
10474,1608300.33
10016,11501431.0
11422,439959.44
11413,487087.1
11216,1241438.31
11417,564711.08
10040,6044004.25
10009,7020344.33
11238,2175800.5
10459,1292920.29
11377,986928.93
11432,656623.46
10025,3554801.27
11249,5777711.14
10003,6738325.42
11418,471208.78
10019,12967367.53
10036,19680409.8
10011,30290287.26
10458,1750522.62
10470,669340.91
10454,2598410.65
10004,75389177.6
10456,1114598.69
11370,962318.38
10452,3059548.73
10471,1396712.23
11004,588820.84
11372,1756152.91
11363,949510.42
10034,4363342.86
11232,1941222.22
10451,4860579.14
11239,388462.33
10010,23872975.0
10032,5339696.11
10030,4107343.72
10022,18633571.31
11001,523253.12
11102,3626420.71
10468,2166621.26
10014,9772185.0
11362,843358.0
10069,2139500.0
11415,589945.78
10012,6936655.71
10001,43405728.63
11040,534166.67
10021,9900118.5
10453,1456157.19
10475,2240271.88
10035,2714250.0
10033,10143537.62
10007,4455083.0
10017,54013354.17
10803,995000.0
10039,10773693.0
10006,752666.67
0,2375000.0
10037,982772.5
11109,1075000.0
